[24.3.26 16:37] fullwrite()    : 데이터 전체 입력 완료
[24.3.26 16:37] fullread()    : 데이터 전체 읽기 완료
[24.3.26 16:37] testapp1()    : ReadCompare 일치
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
[24.3.26 16:37] write()    : 데이터 입력 완료
